latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.19583,-62.79824,307.6,1.28,1.12,2026-06-04,0124,T,72,6.1NRT,290.11,12.47,N
-17.49911,-59.51886,343.48,2.25,1.45,2026-06-04,0124,T,100,6.1NRT,293.9,162.71,N
-17.50271,-59.53952,319.69,2.24,1.45,2026-06-04,0124,T,99,6.1NRT,291.2,57.27,N
-17.48634,-59.5212,348.15,2.25,1.45,2026-06-04,0124,T,100,6.1NRT,293.1,192.1,N
-17.48994,-59.54173,327.68,2.24,1.45,2026-06-04,0124,T,100,6.1NRT,291.52,86.38,N
-17.49356,-59.56229,307.47,2.23,1.45,2026-06-04,0124,T,67,6.1NRT,289.71,25.55,N
-17.48807,-59.60566,309.04,2.22,1.44,2026-06-04,0124,T,76,6.1NRT,290.44,29.69,N
-17.48834,-59.61103,313.39,2.22,1.44,2026-06-04,0124,T,82,6.1NRT,290.55,38.24,N
-17.52895,-62.73531,303.12,1.32,1.14,2026-06-04,0124,T,29,6.1NRT,291.39,7.26,N
-17.5203,-62.74307,301.46,1.32,1.14,2026-06-04,0124,T,16,6.1NRT,290.77,5.83,N
-16.55115,-59.29852,309.77,2.45,1.51,2026-06-04,0124,T,78,6.1NRT,292.17,34.61,N
-16.18975,-58.4603,305.05,2.88,1.62,2026-06-04,0124,T,63,6.1NRT,291.53,32.06,N
-16.19444,-58.48626,304.67,2.87,1.62,2026-06-04,0124,T,61,6.1NRT,291.03,30.91,N
-16.18687,-58.46644,310.07,2.88,1.62,2026-06-04,0124,T,79,6.1NRT,291.78,45.06,N
-16.12063,-58.50663,308.09,2.87,1.62,2026-06-04,0124,T,73,6.1NRT,291.84,40.83,N
-16.18068,-61.13568,309,1.8,1.32,2026-06-04,0124,T,76,6.1NRT,291.19,22.61,N
-16.17289,-61.14363,309.57,1.8,1.32,2026-06-04,0124,T,72,6.1NRT,291.19,22.06,N
-15.74588,-64.14586,315.31,1.17,1.07,2026-06-04,0124,T,91,6.1NRT,291.98,16.07,N
-14.09737,-59.37828,304.41,2.7,1.57,2026-06-04,0126,T,60,6.1NRT,288,32.19,N
-14.09207,-59.3851,316.3,2.7,1.57,2026-06-04,0126,T,93,6.1NRT,288.78,69.38,N
-14.93575,-65.4093,303.89,1.05,1.02,2026-06-04,0126,T,57,6.1NRT,292.91,4.61,N
-14.92672,-65.41074,305.38,1.05,1.02,2026-06-04,0126,T,64,6.1NRT,292.78,5.68,N
-12.45962,-58.46122,321.81,3.43,1.74,2026-06-04,0126,T,100,6.1NRT,292.01,113.82,N
-12.46516,-58.49205,318.25,3.41,1.74,2026-06-04,0126,T,97,6.1NRT,291.94,94.9,N
-12.46339,-58.46609,321.39,3.43,1.74,2026-06-04,0126,T,100,6.1NRT,292.21,114.63,N
-12.46867,-58.49678,306.53,3.41,1.74,2026-06-04,0126,T,68,6.1NRT,291.46,44.63,N
-12.23275,-57.24435,301.05,4.31,1.92,2026-06-04,0126,T,36,6.1NRT,290.25,35.53,N
-12.23954,-57.28248,313.06,4.28,1.91,2026-06-04,0126,T,86,6.1NRT,289.75,99.39,N
-12.43752,-58.40789,304.99,3.47,1.75,2026-06-04,0126,T,62,6.1NRT,291.24,39.6,N
-12.44812,-58.46894,305.58,3.43,1.74,2026-06-04,0126,T,51,6.1NRT,291.3,39.42,N
-12.21595,-57.24734,327.77,4.31,1.92,2026-06-04,0126,T,100,6.1NRT,289.87,215.09,N
-12.22282,-57.28559,370.63,4.28,1.91,2026-06-04,0126,T,100,6.1NRT,288.05,969.08,N
-12.20612,-57.28884,322.72,4.28,1.91,2026-06-04,0126,T,100,6.1NRT,290.91,167.6,N
-12.21198,-57.25496,342.38,4.31,1.92,2026-06-04,0126,T,100,6.1NRT,289.56,392.01,N
-12.2186,-57.29328,352.3,4.28,1.91,2026-06-04,0126,T,100,6.1NRT,288.87,550.58,N
-12.20191,-57.29658,301.87,4.28,1.91,2026-06-04,0126,T,45,6.1NRT,291.23,39.74,N
-7.9419,-71.45897,304.93,1.29,1.13,2026-06-04,0128,T,62,6.1NRT,292.42,7.47,N
-33.73997,-58.89761,301.09,1.23,1.1,2026-06-04,0120,T,37,6.1NRT,278.66,9.92,N
-24.5226,-60.63781,307.68,1.38,1.16,2026-06-04,0124,T,72,6.1NRT,288.73,14.8,N
-22.48856,-62.1666,303.27,1.21,1.1,2026-06-04,0124,T,54,6.1NRT,292.38,6.11,N
-21.55255,-58.62317,302.8,2.17,1.43,2026-06-04,0124,T,51,6.1NRT,289.58,19.75,N
-21.54865,-58.60854,300.7,2.18,1.43,2026-06-04,0124,T,32,6.1NRT,289.36,16.44,N
-21.889,-61.87794,308.71,1.28,1.12,2026-06-04,0124,T,75,6.1NRT,291.35,12.05,N
-21.32928,-61.03527,304.78,1.48,1.2,2026-06-04,0124,T,62,6.1NRT,292.59,10.18,N
-21.33161,-61.04913,305.54,1.47,1.2,2026-06-04,0124,T,65,6.1NRT,292.59,10.93,N
-18.54997,-58.59693,302.08,2.52,1.53,2026-06-04,0124,T,44,6.1NRT,289.34,21,N
-18.53661,-58.59975,301.4,2.52,1.53,2026-06-04,0124,T,41,6.1NRT,289.34,19.95,N
-18.83886,-62.98265,310.01,1.23,1.1,2026-06-04,0124,T,79,6.1NRT,289.77,14.02,N
11.73908,-70.19209,320.5,1.14,1.06,2026-06-04,0134,T,100,6.1NRT,291.03,19.02,N
-10.38492,-49.44477,351.95,1.11,1.05,2026-06-04,0644,A,100,6.1NRT,293.69,77.34,N
-10.38636,-49.43496,321,1.11,1.05,2026-06-04,0644,A,100,6.1NRT,291.51,21.52,N
-10.39413,-49.44612,304.77,1.11,1.05,2026-06-04,0644,A,62,6.1NRT,291.06,7.1,N
-11.53777,-52.78428,301.9,1.04,1.02,2026-06-04,0646,A,16,6.1NRT,290.67,4.64,N
-11.54668,-52.78565,325.15,1.04,1.02,2026-06-04,0646,A,100,6.1NRT,292.5,24.25,N
-11.55559,-52.78705,306.38,1.04,1.02,2026-06-04,0646,A,68,6.1NRT,290.76,7.52,N
-12.30385,-47.90081,300.55,1.44,1.19,2026-06-04,0646,A,30,6.1NRT,290.46,7.34,N
-11.78331,-52.5083,301.07,1.02,1.01,2026-06-04,0646,A,37,6.1NRT,290.87,4.57,N
-12.55993,-48.348,300.56,1.35,1.15,2026-06-04,0646,A,30,6.1NRT,290.24,7.35,N
