latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.39893,-44.84009,317.62,0.47,0.39,2026-06-04,0442,N,nominal,2.0NRT,286.95,1.91,N
-6.98552,-42.88805,338.16,0.41,0.45,2026-06-04,0442,N,nominal,2.0NRT,290.43,3.38,N
-6.98607,-42.88434,306.13,0.41,0.45,2026-06-04,0442,N,nominal,2.0NRT,288.54,3.38,N
-6.98965,-42.88865,325.91,0.41,0.45,2026-06-04,0442,N,nominal,2.0NRT,289.43,2.93,N
-6.99021,-42.88493,321.31,0.41,0.45,2026-06-04,0442,N,nominal,2.0NRT,288.73,2.93,N
-6.99132,-42.87748,312.54,0.41,0.45,2026-06-04,0442,N,nominal,2.0NRT,289.47,1.59,N
-6.91039,-43.62383,302.53,0.55,0.43,2026-06-04,0442,N,nominal,2.0NRT,289.72,0.5,N
-6.76034,-45.01073,305.42,0.46,0.39,2026-06-04,0442,N,nominal,2.0NRT,290.13,1.35,N
-6.74316,-47.12341,303.59,0.39,0.36,2026-06-04,0442,N,nominal,2.0NRT,290.31,0.79,N
-7.27422,-46.80878,313.01,0.4,0.37,2026-06-04,0442,N,nominal,2.0NRT,283.26,1.39,N
-7.48579,-47.5033,310.02,0.39,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.02,0.78,N
-7.48683,-47.50681,302.08,0.39,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.04,0.39,N
-7.41096,-49.66771,303.51,0.4,0.37,2026-06-04,0442,N,nominal,2.0NRT,288.1,0.76,N
-8.0688,-46.19881,305.41,0.42,0.38,2026-06-04,0442,N,nominal,2.0NRT,292.27,1.27,N
-8.07111,-46.18367,315.45,0.42,0.38,2026-06-04,0442,N,nominal,2.0NRT,292.32,1.6,N
-8.07344,-46.19177,307.77,0.42,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.98,1.14,N
-8.07403,-46.18796,303.77,0.42,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.47,1.14,N
-7.54334,-49.88602,303.17,0.4,0.37,2026-06-04,0442,N,nominal,2.0NRT,290.94,0.57,N
-8.05,-46.79522,330.81,0.4,0.37,2026-06-04,0442,N,nominal,2.0NRT,292.37,1.27,N
-8.05341,-46.79575,307.17,0.4,0.37,2026-06-04,0442,N,nominal,2.0NRT,291.63,1.27,N
-8.57065,-46.00126,329.65,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,292.39,2.97,N
-8.57126,-45.99725,329.82,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.53,2.97,N
-8.57418,-46.00177,311.76,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,290.57,3.1,N
-8.5748,-45.99778,315.63,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.18,3.1,N
-8.57541,-45.99378,308.73,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,290.27,1,N
-8.57833,-45.99829,343.4,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,292.44,3.1,N
-8.2686,-48.23762,303.99,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.85,0.58,N
-8.26915,-48.23412,303.33,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.81,0.58,N
-8.27193,-48.23815,301.82,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.32,0.72,N
-8.27746,-48.2247,301.92,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.51,0.65,N
-8.28024,-48.22872,301.99,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.35,1.02,N
-8.28079,-48.22523,307.89,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.69,1.02,N
-8.28635,-48.23327,305.51,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.77,0.67,N
-8.2869,-48.22978,305.38,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.89,0.67,N
-8.28913,-48.23729,304.67,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.19,0.66,N
-8.28968,-48.23381,305.84,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.75,0.67,N
-8.29246,-48.23782,307.95,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.92,0.94,N
-8.29301,-48.23433,304.15,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.65,0.6,N
-8.29579,-48.23835,304.56,0.38,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.44,0.94,N
-8.35176,-48.14333,328.17,0.39,0.36,2026-06-04,0442,N,nominal,2.0NRT,293.43,2.45,N
-9.03643,-46.32055,306.98,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.29,1.31,N
-9.04051,-46.31725,306.34,0.43,0.38,2026-06-04,0442,N,nominal,2.0NRT,291.14,0.76,N
-8.99189,-47.85171,302.71,0.39,0.36,2026-06-04,0442,N,nominal,2.0NRT,291.51,0.43,N
-9.56642,-44.57751,300.99,0.52,0.42,2026-06-04,0444,N,nominal,2.0NRT,287.62,1.39,N
-9.4681,-46.05896,333.5,0.44,0.38,2026-06-04,0444,N,nominal,2.0NRT,291.98,2.95,N
-9.46749,-46.06301,318.46,0.44,0.38,2026-06-04,0444,N,nominal,2.0NRT,291.65,2.95,N
-9.47104,-46.06356,315.76,0.44,0.38,2026-06-04,0444,N,nominal,2.0NRT,291.13,1.47,N
-9.36531,-47.0852,316.72,0.4,0.37,2026-06-04,0444,N,nominal,2.0NRT,291.22,1.74,N
-9.38842,-48.62086,304.33,0.38,0.36,2026-06-04,0444,N,nominal,2.0NRT,290.86,0.65,N
-9.39175,-48.6214,313.47,0.38,0.36,2026-06-04,0444,N,nominal,2.0NRT,290.97,0.65,N
-9.5304,-47.75738,320.92,0.39,0.36,2026-06-04,0444,N,nominal,2.0NRT,293.05,2.41,N
-9.53095,-47.7538,329.17,0.39,0.36,2026-06-04,0444,N,nominal,2.0NRT,292.52,2.41,N
-9.68466,-47.05028,301.57,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,290.8,1.12,N
-9.62841,-48.8817,308.89,0.38,0.36,2026-06-04,0444,N,nominal,2.0NRT,289.51,1.34,N
-9.36863,-50.54344,301.68,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,289.01,0.5,N
-9.37206,-50.54401,305.17,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,289.28,0.86,N
-9.37266,-50.54029,300.61,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,288.68,0.5,N
-9.37549,-50.54458,304.83,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,289.58,0.86,N
-9.37609,-50.54086,303.31,0.41,0.37,2026-06-04,0444,N,nominal,2.0NRT,289.66,0.5,N
-9.80618,-48.24437,313.12,0.39,0.36,2026-06-04,0444,N,nominal,2.0NRT,290.29,1.24,N
-9.89408,-47.8577,308.62,0.39,0.36,2026-06-04,0444,N,nominal,2.0NRT,285.42,0.95,N
-9.51496,-50.26402,313.07,0.4,0.37,2026-06-04,0444,N,nominal,2.0NRT,290.91,1.06,N
-9.51555,-50.26036,306.61,0.4,0.37,2026-06-04,0444,N,nominal,2.0NRT,290.71,0.72,N
